project,pypi_package,downloads_last_month,description,tags,primary_tag,confidence
LangChain,langchain,75645079.0,Building applications with LLMs through composability,"['ai_programming', 'prompt_engineering', 'model_provider']",ai_programming,0.9
OpenAI,openai,72107813.0,The official Python library for the openai API,"['model_provider', 'ai_programming']",model_provider,0.9
anthropic,anthropic,13276203.0,The official Python library for the anthropic API,"['model_provider', 'ai_programming']",model_provider,0.9
LiteLLM,litellm,11062531.0,Library to easily interface with LLM API providers,"['model_provider', 'ai_programming', 'agentic_ai']",model_provider,0.85
MCP,mcp,10378413.0,Model Context Protocol SDK,"['model_provider', 'ai_programming']",model_provider,0.85
Cohere,cohere,7186725.0,,"['model_provider', 'ai_programming', 'prompt_engineering']",model_provider,0.8
LangGraph,langgraph,6602288.0,"Building stateful, multi-actor applications with LLMs","['ai_programming', 'structured_output', 'workflow_orchestration']",ai_programming,0.85
LlamaIndex,llama-index,4018066.0,Interface between LLMs and your data,"['model_provider', 'hosting_provider', 'ai_programming']",model_provider,0.8
Instructor,instructor,3145136.0,structured outputs for llm,"['structured_output', 'ai_programming', 'model_provider']",structured_output,0.85
Ollama,ollama,2714269.0,The official Python client for Ollama.,"['ai_programming', 'model_provider']",ai_programming,0.9
Groq,groq,2477008.0,The official Python library for the groq API,"['ai_programming', 'model_provider']",ai_programming,0.9
Mistral,mistralai,2249615.0,Python Client SDK for the Mistral AI API.,"['model_provider', 'ai_programming', 'workflow_orchestration']",ai_programming,0.85
vLLM,vllm,2124689.0,A high-throughput and memory-efficient inference and serving engine for LLMs,"['model_provider', 'hosting_provider', 'local_inference']",model_provider,0.85
pydantic‑ai,pydantic-ai,1879432.0,Agent Framework / shim to use Pydantic with LLMs,"['model_provider', 'ai_programming']",model_provider,0.9
Outlines,outlines,1837296.0,Probabilistic Generative Model Programming,"['model_provider', 'ai_programming', 'structured_output']",model_provider,0.85
LM‑Format‑Enforcer,lm-format-enforcer,1726953.0,"Enforce the output format (JSON Schema, Regex etc) of a language model","['structured_output', 'evaluation_testing']",structured_output,0.9
Semantic Kernel,semantic-kernel,1651782.0,Semantic Kernel Python SDK,"['ai_programming', 'structured_output', 'model_provider']",ai_programming,0.85
