Category: All categories

Week,function calling openai: (Worldwide),cursor mcp: (Worldwide),anthropic Computer Use: (Worldwide),gemini mcp: (Worldwide),openai mcp: (Worldwide)
2023-01-01,0,0,0,0,0
2023-01-08,0,0,0,0,0
2023-01-15,0,0,0,0,0
2023-01-22,0,0,0,0,0
2023-01-29,0,0,0,0,0
2023-02-05,0,0,0,0,0
2023-02-12,0,0,0,0,0
2023-02-19,0,0,0,0,0
2023-02-26,0,0,0,0,0
2023-03-05,0,0,0,0,0
2023-03-12,0,0,0,0,0
2023-03-19,0,0,0,0,0
2023-03-26,0,0,0,0,0
2023-04-02,0,0,0,0,0
2023-04-09,0,0,0,0,0
2023-04-16,0,0,0,0,0
2023-04-23,0,0,0,0,0
2023-04-30,0,0,0,0,0
2023-05-07,0,0,0,0,0
2023-05-14,0,0,0,0,0
2023-05-21,0,0,0,0,0
2023-05-28,0,0,0,0,0
2023-06-04,0,0,0,0,0
2023-06-11,9,0,0,0,0
2023-06-18,10,0,0,0,0
2023-06-25,7,0,0,0,0
2023-07-02,5,0,0,0,0
2023-07-09,6,0,0,0,0
2023-07-16,6,0,0,0,0
2023-07-23,6,0,0,0,0
2023-07-30,6,0,0,0,0
2023-08-06,4,0,0,0,0
2023-08-13,4,0,0,0,0
2023-08-20,5,0,0,0,0
2023-08-27,3,0,0,0,0
2023-09-03,5,0,0,0,0
2023-09-10,5,0,0,0,0
2023-09-17,5,0,0,0,0
2023-09-24,3,0,0,0,0
2023-10-01,3,0,0,0,0
2023-10-08,3,0,0,0,0
2023-10-15,4,0,0,0,0
2023-10-22,4,0,0,0,0
2023-10-29,4,0,0,0,0
2023-11-05,10,0,0,0,0
2023-11-12,8,0,0,0,0
2023-11-19,10,0,0,0,0
2023-11-26,6,0,0,0,0
2023-12-03,7,0,0,0,0
2023-12-10,7,0,0,0,0
2023-12-17,5,0,0,0,0
2023-12-24,5,0,0,0,0
2023-12-31,3,0,0,0,0
2024-01-07,5,0,0,0,0
2024-01-14,6,0,0,0,0
2024-01-21,6,0,0,0,0
2024-01-28,8,0,0,0,0
2024-02-04,7,0,0,0,0
2024-02-11,7,0,0,0,0
2024-02-18,9,0,0,0,0
2024-02-25,7,0,0,0,0
2024-03-03,7,0,0,0,0
2024-03-10,6,0,0,0,0
2024-03-17,7,0,0,0,0
2024-03-24,8,0,0,0,0
2024-03-31,7,0,0,0,0
2024-04-07,7,0,0,0,0
2024-04-14,7,0,0,0,0
2024-04-21,7,0,0,0,0
2024-04-28,7,0,0,0,0
2024-05-05,6,0,0,0,0
2024-05-12,9,0,0,0,0
2024-05-19,9,0,0,0,0
2024-05-26,8,0,0,0,0
2024-06-02,7,0,0,0,0
2024-06-09,9,0,0,0,0
2024-06-16,8,0,0,0,0
2024-06-23,5,0,0,0,0
2024-06-30,6,0,0,0,0
2024-07-07,6,0,0,0,0
2024-07-14,5,0,0,0,0
2024-07-21,7,0,0,0,0
2024-07-28,7,0,0,0,0
2024-08-04,6,0,0,0,0
2024-08-11,7,0,0,0,0
2024-08-18,6,0,0,0,0
2024-08-25,5,0,0,0,0
2024-09-01,6,0,0,0,0
2024-09-08,5,0,0,0,0
2024-09-15,5,0,0,0,0
2024-09-22,5,0,0,0,0
2024-09-29,5,0,0,0,1
2024-10-06,6,0,0,0,0
2024-10-13,6,0,0,0,0
2024-10-20,7,0,29,0,0
2024-10-27,6,0,13,0,0
2024-11-03,5,0,6,0,0
2024-11-10,5,0,6,0,0
2024-11-17,4,0,4,0,0
2024-11-24,4,0,5,0,0
2024-12-01,5,0,4,0,0
2024-12-08,5,0,4,0,1
2024-12-15,7,0,5,0,0
2024-12-22,4,0,3,0,0
2024-12-29,3,0,4,0,0
2025-01-05,7,0,4,1,1
2025-01-12,6,0,3,0,0
2025-01-19,7,0,5,0,0
2025-01-26,7,2,6,0,0
2025-02-02,8,6,4,2,0
2025-02-09,6,10,3,0,1
2025-02-16,6,19,3,0,2
2025-02-23,6,33,2,2,3
2025-03-02,7,48,3,2,6
2025-03-09,6,68,4,4,11
2025-03-16,5,89,4,7,12
2025-03-23,6,88,3,11,27
2025-03-30,5,88,3,21,30
2025-04-06,6,95,2,20,24
2025-04-13,5,75,2,20,23
2025-04-20,4,73,2,18,20
2025-04-27,6,59,2,14,18
2025-05-04,3,59,2,17,17
2025-05-11,4,72,0,17,20
2025-05-18,6,71,2,22,23
2025-05-25,4,72,2,21,22
2025-06-01,4,82,1,20,21
2025-06-08,5,100,2,20,22
2025-06-15,5,78,2,16,19
