Category: All categories

Week,function calling openai: (Worldwide),llm function calling: (Worldwide),llm function calling: (Worldwide),Model Context Protocol: (Worldwide),anthropic Computer Use: (Worldwide)
2023-01-01,0,0,0,0,0
2023-01-08,0,0,0,0,0
2023-01-15,0,0,0,0,0
2023-01-22,0,0,0,0,0
2023-01-29,0,0,0,0,0
2023-02-05,0,0,0,0,0
2023-02-12,0,0,0,0,0
2023-02-19,0,0,0,0,0
2023-02-26,0,0,0,0,0
2023-03-05,0,0,0,0,0
2023-03-12,0,0,0,0,0
2023-03-19,0,0,0,0,0
2023-03-26,0,0,0,0,0
2023-04-02,0,0,0,0,0
2023-04-09,0,0,0,0,0
2023-04-16,0,0,0,0,0
2023-04-23,0,0,0,0,0
2023-04-30,0,0,0,0,0
2023-05-07,0,0,0,0,0
2023-05-14,0,0,0,0,0
2023-05-21,0,0,0,0,0
2023-05-28,0,0,0,0,0
2023-06-04,0,0,0,0,0
2023-06-11,11,0,0,0,0
2023-06-18,13,0,0,0,0
2023-06-25,9,1,1,0,0
2023-07-02,7,0,0,0,0
2023-07-09,8,0,0,0,0
2023-07-16,8,0,0,0,0
2023-07-23,7,0,0,0,0
2023-07-30,7,0,0,0,0
2023-08-06,5,0,0,0,0
2023-08-13,5,0,0,0,0
2023-08-20,6,0,0,0,0
2023-08-27,4,0,0,0,0
2023-09-03,7,0,0,0,0
2023-09-10,6,1,1,0,0
2023-09-17,6,0,0,0,0
2023-09-24,4,0,0,0,0
2023-10-01,4,0,0,0,0
2023-10-08,4,0,0,0,0
2023-10-15,6,0,0,0,0
2023-10-22,5,1,1,0,0
2023-10-29,5,0,0,0,0
2023-11-05,13,0,0,0,0
2023-11-12,10,0,0,0,0
2023-11-19,12,2,2,0,0
2023-11-26,8,0,0,0,0
2023-12-03,10,0,0,0,0
2023-12-10,10,1,1,0,0
2023-12-17,7,2,2,0,0
2023-12-24,7,0,0,0,0
2023-12-31,4,2,2,0,0
2024-01-07,6,2,2,0,0
2024-01-14,7,2,2,0,0
2024-01-21,8,2,2,0,0
2024-01-28,11,3,3,0,0
2024-02-04,9,2,2,0,0
2024-02-11,9,3,3,0,0
2024-02-18,11,2,2,0,0
2024-02-25,9,2,2,0,0
2024-03-03,9,3,3,0,0
2024-03-10,8,4,4,0,0
2024-03-17,9,2,2,0,0
2024-03-24,10,4,4,0,0
2024-03-31,8,2,2,0,0
2024-04-07,9,4,4,0,0
2024-04-14,9,4,4,0,0
2024-04-21,9,4,4,0,0
2024-04-28,9,5,5,0,0
2024-05-05,8,4,4,0,0
2024-05-12,11,4,4,0,0
2024-05-19,11,3,3,0,0
2024-05-26,10,3,3,0,0
2024-06-02,9,5,5,0,0
2024-06-09,11,4,4,0,0
2024-06-16,10,4,4,0,0
2024-06-23,7,4,4,0,0
2024-06-30,8,3,3,0,0
2024-07-07,7,4,4,0,0
2024-07-14,7,4,4,0,0
2024-07-21,9,6,6,0,0
2024-07-28,9,5,5,0,0
2024-08-04,8,5,5,0,0
2024-08-11,9,4,4,0,0
2024-08-18,8,2,2,0,0
2024-08-25,6,3,3,0,0
2024-09-01,8,3,3,0,0
2024-09-08,6,3,3,0,0
2024-09-15,6,3,3,0,0
2024-09-22,6,4,4,0,0
2024-09-29,6,2,2,0,0
2024-10-06,7,2,2,0,0
2024-10-13,8,3,3,2,0
2024-10-20,9,3,3,0,37
2024-10-27,7,2,2,0,16
2024-11-03,6,5,5,0,8
2024-11-10,6,4,4,0,8
2024-11-17,5,3,3,0,5
2024-11-24,5,3,3,24,6
2024-12-01,7,3,3,18,5
2024-12-08,6,4,4,13,5
2024-12-15,9,5,5,11,6
2024-12-22,6,3,3,8,4
2024-12-29,3,4,4,5,5
2025-01-05,9,5,5,11,5
2025-01-12,8,4,4,9,4
2025-01-19,8,5,5,9,7
2025-01-26,9,4,4,8,8
2025-02-02,11,4,4,10,5
2025-02-09,7,4,4,12,4
2025-02-16,8,4,4,17,4
2025-02-23,7,3,3,25,3
2025-03-02,9,4,4,42,3
2025-03-09,8,4,4,64,5
2025-03-16,7,5,5,76,5
2025-03-23,8,3,3,86,4
2025-03-30,6,6,6,100,3
2025-04-06,8,5,5,94,2
2025-04-13,7,2,2,74,3
2025-04-20,6,5,5,67,2
2025-04-27,8,2,2,55,2
2025-05-04,4,3,3,54,2
2025-05-11,5,4,4,59,0
2025-05-18,8,3,3,69,2
2025-05-25,5,4,4,62,3
2025-06-01,6,3,3,64,2
2025-06-08,6,3,3,68,2
2025-06-15,6,3,3,61,2
